id,nombre,email,curso,matematicas,criptografia,blockchain,mineria_datos,learning_analytics,participacion,horas_plataforma,tareas_entregadas,asistencia,foros,riesgo_real,nota_media,estado,nombre_cifrado,email_cifrado
49,Alberto Aguilar,alberto.aguilar@email.com,Analisis de Datos II,4.3,7.5,9.0,8.1,3.8,98,24,2,34,7,0,6.54,Estable,gAAAAABqBLwXn8b8kHzKuFWwt58hShmT9a7nQQBX0HpktlpPc2B6C5U-aeFiOrEpUw47P-CSBy89QIXHmOr0MwhljzDtr4tl-w==,gAAAAABqBLwXFxxuPYBuF30g68K2JlTpyAIgplZB-I3kkA0Mp-LkbwTdUVIfI9iQF0QgznmvJW_k-ravm2TZw0_irgXMo9HqldYR4E2d5kY_nLPKD0JUcRo=
50,Hugo Vega,hugo.vega@email.com,Analisis de Datos II,9.9,4.3,4.5,5.8,8.2,55,26,7,41,0,0,6.54,Estable,gAAAAABqBLwXDGwTqpxedULKahEARH3Aayuu-GZh9FYpIS939cpxDqR07wm1k7xMrPp2vboG6rmeUxPUtz0BACBIJ_W-INMDwA==,gAAAAABqBLwXFS0SKwISrUHsR9nk-lwpbHPyphN6DKWFG_x0SIRjKIFQAeGjTUNs-T-bwya9VsJV5cyR1p6tRsfSJQ-S519-_tg5Dr3GjXyrKOxnwrFb_Os=
51,Oscar Ramos,oscar.ramos@email.com,Analisis de Datos II,9.9,4.9,3.1,3.6,2.5,41,32,1,75,4,1,4.8,En riesgo,gAAAAABqBLwXo6xFsVIL7yh7aLMTU-h98--zuPsJ-TzdxqrXu8a6fK5bj7C5aCU5qaEFIg7V5k9Od1nh9DeZc9hnp2hZe7sTOA==,gAAAAABqBLwXu1rF4gT06MzBprqMcqBoY3Hju9KaQHEE_yYk5RGJOM9_OPYTegVaTh6mNn4-HfxMQZNoKQ5daSapuW43YyDDjjdI0L-inM9iHbG83Y0WkvI=
52,Manuel Garcia,manuel.garcia@email.com,Analisis de Datos II,6.6,9.0,7.8,2.9,7.5,65,50,7,79,5,0,6.76,Estable,gAAAAABqBLwXnV60ziCrZ_tJTtujvwTqYp-ZsAsNpmX_d1CrDBUjoscNNkCXBqjvMybFqLyWTikDihNf-vc2EStleLziyWS_3w==,gAAAAABqBLwX9ezXXsKj0Adpuf9Od7VPpGjIq7ollQpA7va9vzBvwiqe91qusYLD2tThG38tr0EtatvK6PnWWH9wXGFyskgI_mBtZ6-Y_K7SfnDR4O71FHI=
53,Irene Serrano,irene.serrano@email.com,Analisis de Datos II,2.2,5.4,6.2,8.6,2.5,81,42,6,38,5,1,4.98,En riesgo,gAAAAABqBLwXesJqeOj1JlAx3NUd9i-FAQSS7ytVqBi9bI4waLKjnQnWr9RDWjcaT9EdY_5TWXE0d3184Rcy47psU9NpeGs5Eg==,gAAAAABqBLwX8sCG4v11yAjSq1hMDXiaFZs8vFnQ_McfJ2K40f71D1JhbryAHuUTN6HGiImWk7PVgxqO-HNzOFkrAUY4kIBkvJRFsJa4WFI7ZyCj2Bho1kg=
54,David Vega,david.vega@email.com,Analisis de Datos II,9.7,9.9,7.1,8.2,2.8,99,41,7,35,0,0,7.54,Estable,gAAAAABqBLwXBpXgF7fZDIf9E1KR23CrQwWXRkYAtQ0dF2faHwc6NAlS2S-lzfrWVY9Twg2DtZOTKybYNGU9m-crBsdnqMkVpw==,gAAAAABqBLwX8YwHW8J6FbhB5entyTDh6aCUE2c6csI5p0cMYQp5qsBUdb0_lO7uQ9hgxHTb6xyZAOXbBm8lUb28bVFxL9K6L6K9nW3lyGtk9WK2CF3_0AU=
55,Marcos Martin,marcos.martin@email.com,Analisis de Datos II,8.6,6.7,8.9,2.0,9.4,51,31,4,30,9,0,7.12,Estable,gAAAAABqBLwX3P1ng_YC79BPHXyu_cTF0pU_Z0P736fyKV_A9DtBEpvzEKw8CLpsWWPUPXxh_ru4fYCVEbvIestA8cWVKS2iVg==,gAAAAABqBLwXYfOtTU-dtnbiGGHXjSPhKYos3OxbY0XouWnPS0LHZECirbCSyq_hUp6qoPcxbO0tkia5BZZ3qlSWltTbXq05T8ziymq3eqickpAzkegbe90=
56,Pedro Gomez,pedro.gomez@email.com,Analisis de Datos II,2.7,8.7,2.9,5.1,10.0,32,46,3,46,7,1,5.88,En riesgo,gAAAAABqBLwXwm_s7wAc-ajjWnLJOtIMr818kP627ejhGKwZDNxHFZE5gE6Ei57ErGcp6wiSQTOgcPdYI2TU1fWaJlw215gJMA==,gAAAAABqBLwXn0lQATBqS74HFOWxNF8043U1-4xhyf2z8TkorH_ojY2ZIjXl_BIMtqeulXph_OJHJq6SMw2C9xiLL6prk6mMSy8odBI6RYcRT5f6Kk87Uw0=
57,Silvia Torres,silvia.torres@email.com,Analisis de Datos II,6.8,5.5,5.6,4.4,8.4,66,47,8,79,9,0,6.14,Estable,gAAAAABqBLwX3ILwmK7pYwUxdkLQ7P_smvTVzYY_L_DIyvld9V4Vro9V_6svZF9XZpaR-0dd4VaYhujUs3Px2YFiLL2xvGih2Q==,gAAAAABqBLwXOlW66w09QG_IOVop0Vl0RjfXN9wSHOEJKrbqEciqLpGfkID-Ap2rCH0LUZOVVk3tHAzbDdHokUaKhgzz70S3cGjtApSP64-U0TkFs-trfQU=
58,Victor Romero,victor.romero@email.com,Analisis de Datos II,8.2,3.5,2.1,4.7,8.5,36,11,5,93,6,1,5.4,En riesgo,gAAAAABqBLwXovlE30_lkQJT_W4TaT2Kb1uvTm-AFjwTvRcNLuvCGbrKqBf41E5Jkf9A9wWFO7lA6Zajbw7CHCEUTpXlVZ8PNg==,gAAAAABqBLwX9PU512mkvOQhyoaQvXEneBAoRDh41UyyHZfmlDKMLg_xFGZy82O8ZENFhxXxYVTnUXhIjQZXvfNmVzdYz_wcFI6bdNCJ3EVCSSvrEICzddE=
59,Carmen Rios,carmen.rios@email.com,Analisis de Datos II,7.3,8.5,6.9,8.4,7.5,39,37,9,55,8,1,7.72,En riesgo,gAAAAABqBLwXXHYC1xJONTpAlXaIjf3bm7WmDIdDN-Oh0q16AtWeDA_R0UGmMn-lHZIXNFLRVuUspr-lQFVm5ApVLfgCWFN2-w==,gAAAAABqBLwXR55oCcGSkkPyWDl0jWlzA6EZSHwS9KjeGuMui_IcJGOP_dzJsmZh5SItWHBqEFZddZ-W2QBpDCFfYRvUKZOgQMbkb_Fmp0TO0OqO6CuoU6U=
60,Carlos Gil,carlos.gil@email.com,Analisis de Datos II,7.4,3.2,2.8,7.8,5.3,75,6,3,66,6,0,5.3,Estable,gAAAAABqBLwXM2wf5621KJnUw8xXjIv2QCTPVVNj2vIhaXj9FPFVi3wMRzVuqMdQi-rQ-3zLkmrJNIDGtU7ramWzd-5d47vjEg==,gAAAAABqBLwX63rI6tTILTkNV1522LFkKG-unuOpCMmYDmfIy1efrEl1Xv0wnOP6-Ly2aHk_POgwH9XBP0f5xp0f2Skr-ZFldujOwmm6tqJ37fL9BOlO4Dc=
61,Carlos Vega,carlos.vega@email.com,Analisis de Datos II,6.9,2.4,5.5,4.2,7.0,83,49,4,42,9,0,5.2,Estable,gAAAAABqBLwX-Ave7shVKxHc_oW8X0U25bzNo_OTDfT-8de1MfMaE-vPQ5TzJzNovTUTDdX-V-AP08qGXrFBR6TNkZDG9m6lQQ==,gAAAAABqBLwXi6f3gTJ0_wca-VSMSvWfSJc1_Pgda6yIHI8XxoRWzKrdZwZJZoU6Py2CWD-ZyzNc70mqLxcpv0RCGwIuuKbyulZhL8wc5TrjhbJSlUzvu5A=
62,Ana Vega,ana.vega@email.com,Analisis de Datos II,8.2,7.6,3.2,3.8,5.2,65,10,6,40,1,0,5.6,Estable,gAAAAABqBLwX1sCqbH3dFyrMkApq1Fm2lA3H2VIT5P-jEsbN9mMEnd4fFSJqCy6Tk0ko2vpxg_ONWC4jyYJasgwoh8NVn0wkpw==,gAAAAABqBLwXP1Wy-7mytuVGsi5wFcXiqE8Ra6ESvmRmjf89AIbz2h_vBhE3F4tcvLsvM1CUBdZuTp_W1yVi6D1-XYR-R-1cq5ajhCLtJxMjQRTmxcId7xY=
63,Silvia Herrera,silvia.herrera@email.com,Analisis de Datos II,7.2,9.0,8.3,5.3,2.1,48,12,3,58,1,1,6.38,En riesgo,gAAAAABqBLwX7Fc2xTkLibMuKIwLFOuluCLf4o_TJkC4pSQMh49QF3VMXBz_W3FVvwfUbrnfSJBN9EZXQTXeUPQ6A0v8CeVICg==,gAAAAABqBLwXtbK1LfmXiXSv5t1nJCedWsdQBBVcfDgnLOXZnvBHgCoGP2XqX6nEOrAaX2MYJmuy5lUub-97dEIDa8aEUWm8cPyKLNnQ8JN7tvvrJYnzFY8=
64,Ivan Rubio,ivan.rubio@email.com,Analisis de Datos II,4.9,5.1,5.5,8.5,7.4,58,45,3,38,8,0,6.28,Estable,gAAAAABqBLwXqLah-AEHMOdhnZLYxx_tjxubjmngD9SUBe254HOb104yDYeJLGfQGrmG71kwAEVA8YSDzmdGlgJ9ZcgKb4Mc8Q==,gAAAAABqBLwXWp8HOWlA7a2q7g7ROa7WwSK5I5FL3j2sJyPjFl-HTKtQ1-Pxh1Vp1ig7D51zyWbjGpiV0tdSJOb3dLwHhQ0YAeLWo-5qWbdLdFokYkSmVw0=
65,Beatriz Navarro,beatriz.navarro@email.com,Analisis de Datos II,3.3,3.0,5.3,7.7,9.5,26,21,8,93,7,1,5.76,En riesgo,gAAAAABqBLwXXgdZUbv-hnJzxqHWB8lwhuY5H86duY3t6ve5OmX1P8FFrPNyvYVS6PjYv9OUdvTwJSxDkpSbIzt64QAeRg7-1w==,gAAAAABqBLwXLg3SKn0Vn-FXuVOhgAbrpgdYsXW0T9ghdSEPkkrrm8C4JwDl88eEXSl-zACclvPpbRPrRRMxfAcX4efoLwpEICkK5anaav1UWZgCpouqrxA=
66,Beatriz Serrano,beatriz.serrano@email.com,Analisis de Datos II,7.3,2.2,8.1,3.2,8.4,97,39,3,44,5,0,5.84,Estable,gAAAAABqBLwX_5VoYv98r_T-0THhE_Ob96vltTgtYwPl9Z56jJLEh5dAb_ItpN54sI-19VEUyEXklzTyNHbOE2P7_N8WvcuF9Q==,gAAAAABqBLwXRSfNRdILCvCuBHEOhlMhhhxHZhaNRY6VHTjocXD0VgeU3uCl7N5kVnj6e1f_u4fwlC3q5v2gDO7WNGhK3J-tVQbtKzv9lVYxp2Hi2u5a14c=
67,Silvia Marin,silvia.marin@email.com,Analisis de Datos II,9.8,3.1,5.4,4.4,8.9,34,38,4,92,2,1,6.32,En riesgo,gAAAAABqBLwX4OXlRfN34AUFwN-gD2jzSuYgefiII1XnnCQ3Pbk2Y7yesGTLNIUDN4RzL5Y3aB9WtrMraqhM9RKJccxszMtkow==,gAAAAABqBLwXmvRAv_yryWX7W2tRhFiICxFJvpqWwtAsisYe0sZxZicSLOyIbaHsls3H2Kun3My2ruxmVfrVhdHSAGpId7_KHWAuboE4fY_Wm2x1Iei5kf8=
68,Victor Martin,victor.martin@email.com,Analisis de Datos II,6.3,6.1,4.0,4.0,5.6,73,34,10,40,1,0,5.2,Estable,gAAAAABqBLwX3AR9-tn12T00AS6NrhIfDiU7HdBiRhy5oUHjZftRj4TKk1Sq4DlFjYSUXG9hECe4Q4jT9zZ292m-mOKbiPn2bA==,gAAAAABqBLwXrJpxj9tXWr4XNiAxEs0Pgt6duN-WOMHCrbkPMkarND-mhu3jRKnCnAYc0QIho7HqVW51G_N3aiOLZfDPzeGZwdLg0210uxzYLaawD__g6P4=
69,Irene Lopez,irene.lopez@email.com,Analisis de Datos II,9.9,6.9,9.2,6.1,2.1,30,7,1,67,6,1,6.84,En riesgo,gAAAAABqBLwXbxU4g4GQLU8fHTmMm49sY7kFOFDmnYGLquBjvr6jQjCFFC3tPdKfUVbDjjaFrtZoUMTWkgPUEPsK1Tz8-NBCsg==,gAAAAABqBLwXhG62lntb4CySAj1IB2hz9JNLXyp7nRxqCrwj0h9luXaKPoCgnKXQv2KtXpgDIekfep30DMD9PokBNfrFqn1FpvGflIfy1eWjn88v1BUWK4g=
70,Laura Romero,laura.romero@email.com,Analisis de Datos II,6.6,8.8,2.4,8.7,5.8,53,17,6,65,8,0,6.46,Estable,gAAAAABqBLwXdySLwS69RyAlxFyrm-ZoTvj6Uk3dkcjCe-yTMUPYcqf_DeSfp9GzsQ6H97qdyJveqEFf4HZ2ZxNOLGzRDprSmw==,gAAAAABqBLwX3hAeGMgsEEyE75tcA0mvJYXMY5yjwEtVj4batqHVbuFdaqjkgaT1PwjDK9GwyOX9-J6Vae-MoIqYHbTdoPHzuost7jzFinEAlg5GXO-Bzzc=
71,Victor Molina,victor.molina@email.com,Analisis de Datos II,4.2,6.1,6.2,5.4,5.8,28,14,8,62,1,1,5.54,En riesgo,gAAAAABqBLwXRQx8Bq9BdlemmGmwdS83QQRJwETL-YWVLHUWL7UDYajrGWwFL2nJBBiEKKJKViG2VaB7zEC-DYpv-Vf4A5ruIg==,gAAAAABqBLwXGYu1Pw2IFjAGiXR6MZSv-ZyWDTgtL2a1oakQ8aGOBOUxJMyZrTX5C4h8UYnEwVEYmqRWK98Egg9dqKQV5l9CxTNwLHjGQSosLWLSJrS67A0=
72,Victor Sanchez,victor.sanchez@email.com,Analisis de Datos II,4.2,8.7,2.6,7.5,4.4,62,29,10,58,8,0,5.48,Estable,gAAAAABqBLwXhPAvmbiM-Z1e9qVmf2vAxeb7H_aFUfNbbC-Af8qr_Nac2oBb_ZJrda7bzqVhgBKew6BrubR6rD2UT3Ne1EZlpg==,gAAAAABqBLwXMlBKeCphCHMdZ-ps4XxEu3y-9nzrTskYpfSout43gQn_0KJZJtd3urxe6uRu9XHtNs8aL935rgpat1YMy4PRaPdlbxRFWOigd6ePB4kRy7s=
73,Nuria Marin,nuria.marin@email.com,Analisis de Datos II,4.8,4.7,6.5,9.6,9.3,48,5,4,72,8,1,6.98,En riesgo,gAAAAABqBLwXgfZ6JwFvfhbePj1gZlCf8Ri5HtLXVi5Zfb524BrO6TBD8OmF-VAaipRJW2jpHa5P2PvVbEx_uQdZq-0MPCfN_Q==,gAAAAABqBLwXSRnuwWx00SujUdP8i4-Haj13APBCwPBOVitAqdAUSUlbRUdsrbZDcww7Z9LAObNT-c-mBBT7R1mAJ2MxwcbuejFu-V07Kw-W6RYpkaw9PVE=
74,Oscar Vidal,oscar.vidal@email.com,Analisis de Datos II,4.0,6.5,6.3,9.1,4.9,63,20,8,96,1,0,6.16,Estable,gAAAAABqBLwXFh90iIBhnNwjEKuQFnSGafIbH16IVJZESXEXlyO0HdZCALxCzrY4t3dK-x2MsH7HS4_w_kgWmpClpDP9LZ2a-Q==,gAAAAABqBLwXVVAdclcKLe_bdps9vrLN3_UYpLxvIcvP7EbyUhqTl3AZ_iwjtoNWn6yTY-0CZRp4xbSP4GTrHxO1IlxpMUIWtGSYLgfzfFp44UvUeV307ag=
75,Laura Ortega,laura.ortega@email.com,Analisis de Datos II,5.9,7.1,8.8,7.4,7.0,78,23,10,67,7,0,7.24,Estable,gAAAAABqBLwXlSNb9cSjRuK5F9uKH6xNrHXJP7_gedPKlOEI2p7vnKnDJcI7uYbmOuh55Yj9LhdW7VnWmS0236aqQQ1GbXa-Uw==,gAAAAABqBLwX-xYlVgBZ0OgOfNuAwc8gI99MATYSvgiRnXEhnTX2lSKwztweJgCik-LQXqi3U601WThrjMNHGY018cBNh2rPtGPXMPJuIL8Of45H3AHaH7c=
76,Paula Gomez,paula.gomez@email.com,Analisis de Datos II,9.7,6.2,9.3,8.1,8.2,61,12,10,63,8,0,8.3,Estable,gAAAAABqBLwXT89mUQDA-4cZl6rEbsalDru-w3z6Nm39cTzfZnaK1316zEv-lgoHNWWUeCBsCrYTTQTUnogDLV44OoQI22AxVg==,gAAAAABqBLwX0kWwZTZDKlHB3XHnrBiQHJ1M0I4vdpIzkHL4BFJOkOzOAHqbhSg6Vp99YLt1VzPOPB_XJX-exAMCKcgGyunB_UwHZ9g1hKqzzdfFofgglDE=
77,Teresa Nieto,teresa.nieto@email.com,Analisis de Datos II,6.4,5.1,6.3,6.1,5.3,49,12,8,59,8,1,5.84,En riesgo,gAAAAABqBLwXG4dmj4L9wtF1Y6pbh5H-RiHque6d656VpWpium4h4110d5c4dS6n8zY_g-dY4Aum4z4a7oi_p_WRqpHdYbRofQ==,gAAAAABqBLwXgw8T1_tXYvDriZSF5qKGIwkaOwaMLuqWqOWKQ1y8b5fcrEQXoyXHWjsDV5XTqRZPwoqFBWTYfGXZjhsewSgRazOwOGVVsC2DH-_-XTeKLf0=
78,Sofia Marin,sofia.marin@email.com,Analisis de Datos II,3.8,4.3,5.4,3.5,4.4,74,24,10,99,0,1,4.28,En riesgo,gAAAAABqBLwXXKNem-twDK4SJOcQszf-oXa5Sri4zJpM14oNJjSptMfOm-y47fmC-gfqtuMnZEguVOm6lcOFAIUh7GkrWk4ZMQ==,gAAAAABqBLwXWjQjppEen6B8W_LFX0n9CHkTaaIYg4k3K0jI8diDnrhDGmbdPvbfJMRcB-c6o_7BTOk5SnqCtGla7wz2GUYGsV2hlvWtJWYh84rMTN-X3Uc=
79,Daniel Torres,daniel.torres@email.com,Analisis de Datos II,8.7,2.3,2.7,9.3,3.7,67,39,8,50,3,0,5.34,Estable,gAAAAABqBLwXK5uQ4W-dS3msmfKzovUHS-Mv792frHway9v9MS9QH101_gpujLaiMkWT7afqhvKy0jrcRxearE_pKd-ld0j45Q==,gAAAAABqBLwX0OzYOxkVnALYmKigfJPvXz1cHHorZK6CVISf1UGW_2jWCHyE3G07TJiIKMokhZgDZEQWDfJLX46PJxFd0OmxoYdxsfbn32Prqrss4O6AFwk=
80,Carlos Marin,carlos.marin@email.com,Analisis de Datos II,7.1,3.8,8.0,9.4,3.0,95,48,5,32,7,0,6.26,Estable,gAAAAABqBLwXCbRRKBLytMCzKtKYNHJAJ0amvHScsGSLJemokS1LBJl7eunomM9YqX5TGlRYzGyiE8z_ZRya0Seb4s0GEi08Zw==,gAAAAABqBLwXmVkNuk3DriVTJIoB3hwo35CluUVnXnvtQ8pi6gkBSCLgykOqWJN0ASnQWJvCivpUsOFRepIOzvhQr5yLMwnKkyzqsHkwePTEX_aGgz6lrH8=
81,Alberto Lopez,alberto.lopez@email.com,Analisis de Datos II,8.9,8.3,5.5,7.8,2.9,75,47,6,62,0,0,6.68,Estable,gAAAAABqBLwXh6V70UANgVQ0gC8ao0C_T0-JD3MsGeISQj5W5qDpn2S6hA6O-QN_q5rB9xvDjknmx_1qmHET145wR3m2bpCbBg==,gAAAAABqBLwXp1orD1vVF7QXI-AJfx905dCqWyVWATE5GBd4NLdxClsCbjGSGyTZBtfOxxges--WkeyHfLhphzcMesoeSoFQrtpu2GZq5qDzDBaw7ds2CAQ=
82,Sergio Diaz,sergio.diaz@email.com,Analisis de Datos II,9.3,4.8,6.8,6.4,4.5,45,49,5,34,7,1,6.36,En riesgo,gAAAAABqBLwX3YePS0DS1cPrp-NJrPY0rj3Stomw1sEoEn05dLiewSaw0iA7g3xqXaDe84sHixgYp1nM_xCq2U8g0w77d0wyDw==,gAAAAABqBLwXYqLuDKd8E2PENRtDx6ySuD4nvoQirwirZ-ONQURGZ4Xx_poQbzz1l7ZULymFA-VfvzbrYhoKaG3YFTBQkwS3zVaYDCkNn7LH0syAM835GZo=
83,Marcos Fuentes,marcos.fuentes@email.com,Analisis de Datos II,8.6,7.6,6.8,7.3,9.0,92,11,8,41,7,0,7.86,Estable,gAAAAABqBLwX6Nmi_7cH3EAMGdoQmR0bZH2On_tI7jhHhwiiP3jPgnDFjkZy70K7tsDKVr8i5_hIgTE7icDeJwtHrHL5L6SC6A==,gAAAAABqBLwXVX2BU3sMe-znwa6TEL_xiyXjOcpAMc8W6uZCUlPISOTXhbrhn-Lr-qkwxmf4uBQGFmVHU1BFjINlTR7oUie81mUxxj1o6CdQZUezgNAIBEU=
84,Sofia Navarro,sofia.navarro@email.com,Analisis de Datos II,8.0,2.3,7.2,9.7,8.9,60,10,4,97,0,0,7.22,Estable,gAAAAABqBLwX5GFYozTtiO8F6UDZxp3T1LINygff3DXX-K9en4FsXzE3VN42fVgRV-YBKLlfq-dl_Ej9asC7TWc48deRa4qPWQ==,gAAAAABqBLwXgeSuLWUrhdbDrrG4NyfPViisV8m_ZBoFWLZEwqG61pmDIqM0Ui-kRIMXQBkqjKOPqkIjfxK_FRH-TzRYlXFd0wXEF2rcrv3w1QXHi2L_K_I=
85,Victor Fuentes,victor.fuentes@email.com,Analisis de Datos II,5.7,8.4,7.3,9.9,5.0,30,28,5,48,3,1,7.26,En riesgo,gAAAAABqBLwXIgbhymIhDN8LesXX0Bv5lEW9dLHHvTM2CldR5edu7tcsGyme7liiX4d3qWRY1rOlm411yMLD1W9NzMY6jwzJRg==,gAAAAABqBLwX79jMTopGF9Z0HX8dT0EN9YNhg4e4VHW56ACxpC_F9nW1sZO--sFwM7hME-EXu5VjxUge8pqlRs1igdasFFZtNg5myt02C4R-NppM76JImBk=
86,Ana Cano,ana.cano@email.com,Analisis de Datos II,8.6,6.0,6.4,3.6,5.8,65,37,6,58,10,0,6.08,Estable,gAAAAABqBLwXRtIHUvlwQSxJyhvdRVoh2xcxGe1JKeqY9epd9VMAAlI6O4F2hHZTJ3OIGP9Ujdj8VI7bhyjicHGJtOJh-NNvaQ==,gAAAAABqBLwXiZKu1-C_kx2PpuKo8VsOrVIyXeoQ8QsgY0r2vEq5q_ghddShGDHGtJK958JKJbJtUeuvkVbw8sNBeD05qmhSm1aUjsygppT8oBK6O_jVLfI=
87,Teresa Sanchez,teresa.sanchez@email.com,Analisis de Datos II,4.1,9.6,6.4,5.2,2.4,65,30,5,96,6,0,5.54,Estable,gAAAAABqBLwXvys_saJg_FVJdLhzGu_BjAgJgSiR9lmvG3PSruKMj8R0nBSYtKfsGvTiWYoFX32g7TmT8zS8YaVGbVr9oVBO5g==,gAAAAABqBLwXDY3nFO8hUsVanf5Z3qlBMsJ7ogc_bbE2K__LmoCVX1x4xnM1vVhBnDIdmPQOOUJkn06PSPa00Pc9rw_jOtNpFKDfn8jeCWZ3cJJ-o1v8zBo=
88,Laura Torres,laura.torres@email.com,Analisis de Datos II,7.1,5.5,3.2,10.0,7.7,21,30,6,80,6,1,6.7,En riesgo,gAAAAABqBLwX0fe1AQpsOolSdAWVqqy9QnFXGNnRBsr-ArACyfoeUoo5-XdA8WmhqAUNXYgArDT3L41WGxIceYcxEyHpjvA8Jw==,gAAAAABqBLwXrjtgkrGbtg_HHBwwe5vib_CIuvc7LwjdJ3clcOaDAhe54RpkhqiOln0tAR3Lq1F0I5cxzz1ySQ_DRPLKZz9K7lZmLt34uY6sDHERwqDZto4=
89,Nuria Moreno,nuria.moreno@email.com,Analisis de Datos II,4.5,6.1,9.8,5.8,7.3,22,31,6,31,8,1,6.7,En riesgo,gAAAAABqBLwXF9KaPd0lxf5WLPidGcXbTF7Ri7NRBgHgOEPVO7jiq4OZHBNZY4Z9cWpUHVAcRVVembC3YzWlP0P_dtIgYYFnhQ==,gAAAAABqBLwXZaHjuvEV0RvmGAQsf8DPucz7GtGf3qk6diMX7sqdPa-uWzJHgoi-nnRAva8-M8A1y6dLv_TYVAt009gX_ZiaQ5Fo-NDz4Fd5ZBAhBzl236o=
90,Irene Torres,irene.torres@email.com,Analisis de Datos II,5.5,7.8,2.2,4.2,5.1,61,45,10,54,10,1,4.96,En riesgo,gAAAAABqBLwXQwq-cpxenG8YfXpMS6KdMCFzEfbAObv0D_FavkxAXBuTyehFB7u4_8TDb3C5dgEYUPxtZD7fOsgPGPQfZ4AMQg==,gAAAAABqBLwXxYBmM2-UIwLMpysVJliuPM0eSJr-Lgg3e2qKqZrvWs4u7hY4TiMpgEqS9Iewd9fanD262s7IPZmD3zUt-nuYN2axz0zERPpw4vkTARMyD7s=
91,Victor Garcia,victor.garcia@email.com,Analisis de Datos II,3.7,2.2,6.0,3.0,6.2,96,16,10,56,4,1,4.22,En riesgo,gAAAAABqBLwXge3v5Wvt7vEt8H9xEgbIkBjFiOcc2ZC2xauB0UfVEEnaXaiYWxM21VDpAUL_NasXlhD9MSFc717M75Fbpbmx7A==,gAAAAABqBLwXUmfj343iFejO8_w_ySnDEufDnSGQFp-1XE2UnaE341AZzxG5k45-bz5Sg5tNFD7KJ6cI001tkEswzj71P4_nO_tueRUjblKC49sMQvY5QHU=
92,Nuria Romero,nuria.romero@email.com,Analisis de Datos II,4.7,8.3,4.9,8.4,8.7,96,9,1,42,0,0,7.0,Estable,gAAAAABqBLwXouS07Y0fywMiyMtjC4YtDwj3bi2cv3qGwPyLyvyFjcLMekBUGX7w8E8FHTN-gFAHKZfiyIj_94NpBTBg9CVs4A==,gAAAAABqBLwXc2H5-m6IpylHzveEwVJlYxxWA1bzxje7rsfSnejM-S7riIyRse2yJJOvOozDp1Ea_zp5gShJnxpZl4Y_iFBaXmw9zDF0VcUyaUUhij2PEPI=
93,Daniel Ruiz,daniel.ruiz@email.com,Analisis de Datos II,9.8,2.2,8.5,4.3,6.8,61,20,1,98,0,0,6.32,Estable,gAAAAABqBLwX_X_TBuw2ft_NOk4YsUg2WV1kfJlAA4Y6ShTFrOiG2F-ssbvWLJl7LIEJPVnTupt--hwqLbvsw-HHwvoDrUVlGA==,gAAAAABqBLwXVAgrAtQCqZMoVuXT_zTDjp9bdsWOgg7WcECLhzTMZ2IAo6WMq_Q7Jxkil8dztL--2kR5r9bvsNcnA7UZP5doj2qHV5FDf1rmWXHoGS0F5qc=
94,Nuria Torres,nuria.torres@email.com,Analisis de Datos II,9.7,5.2,9.6,6.7,5.9,42,20,7,67,4,1,7.42,En riesgo,gAAAAABqBLwXZqatf_flDDsHx3bmmIcVyiwHhxAF_3PfpU_t5m3ifXLm51a7hiiHWPW9P7mSPtbbg1tlBpbRnzfwSV5KT7wpUg==,gAAAAABqBLwXiTiIFpTGYtNrcA8k6mRvk5cSAaVt5C2sEWVdtDtDtN64U4cepGMjY7yqCkCe0MSMWBQoq1v6Hz6Oyiu4uNZXzL94L_Gr5y8eQ0sr5W1vLlo=
95,Elena Lopez,elena.lopez@email.com,Analisis de Datos II,8.3,7.0,7.7,8.4,3.1,62,38,5,92,6,0,6.9,Estable,gAAAAABqBLwXsm5Nil1euECg5P4pYY2H5OIfBmw1kcx2pgo6w0x7T8XgrOva5lSuoeSb4yVF0QWQxWJ6JAqT9vIuXduT1G3Syg==,gAAAAABqBLwXv1F5YdyUV3PfZuZRetpMPs01uGhGc0ApFL_t-Chy6HTernBL7GMVn1PLoLpHbvLfcegmF0m0TaR1HHU7xsFTEzrWOoafAxMysWR53LYdPUA=
96,Ana Cano,ana.cano@email.com,Analisis de Datos II,6.2,2.5,3.5,9.4,9.8,26,17,6,65,9,1,6.28,En riesgo,gAAAAABqBLwXNd098WfE-ljTqlm9yoOrrJnxDct28AVcIRPhNJyEe-_vB_ehPJa-UX44xs2vEqX9B3X2SRdizEoknLprlo7EZw==,gAAAAABqBLwXRzTngSxtg30U6wTaNpZXwh9B96IicbisfHSfmjjnCCxKxzDaFgCJiuzbfZY8pbZt52HB_3GZwYT8LZd42o52AQ48uJB10FOIT1EJZ_vtDJQ=
97,Javier Lopez,javier.lopez@email.com,Analisis de Datos II,3.7,4.6,7.0,9.5,6.3,50,41,1,32,0,0,6.22,Estable,gAAAAABqBLwXQMqMxAcy-eirhXoOJjwl2pmeKdvQ7j6P-40Wl7chy4Psh2lqZSQGMbk0gkH6hIcDp3X9jW_Bn4KBaqti02Kpyg==,gAAAAABqBLwXU-qONq79-GbLpL8PACCn1mhc_e7cuvr6HFMZLJwsu2denaSVrK4j7xNWwmZi_zAmRA1PjpMUIw4zHd3xo_uaGYc0ePNhqeg7cHI4ns5-7Y4=
